crc32,archive,local_off,size,ntex,sample_dims_fmt
0x80114508,0A,0x64BA2800,1935454,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x837E776B,0B,0xD785800,2255445,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x838B394D,0A,0x60565000,1907295,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x848731CE,0B,0x181E6000,1818526,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x856FD7DD,0B,0x129EC000,1831790,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x859980D2,0A,0x3A246800,2113266,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x864ECA2C,0B,0xBA39800,2062386,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8655FAB1,0B,0x1194C000,1877582,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8728AB41,0A,0x60737000,1995831,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x87BDA123,0A,0x5A2F4000,1843005,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8B19F616,0B,0xA39F800,2213214,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8B5ADC2F,0A,0x5D459800,1982330,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8CD27303,0B,0x8FD5800,1813616,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8D1264B7,0B,0x140C5000,2339303,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8D863579,0B,0x17A18000,2009063,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8D89186D,0B,0x12FFA800,2312357,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8E468BB9,0A,0x612BD800,1812974,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8FDFA405,0B,0x15440000,2113925,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x8FF94E23,0A,0x5D63D800,1942979,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x92F65334,0A,0x5DF95800,1978375,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x956887C2,0A,0x38AE8800,1822395,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9655C138,0A,0x5E179000,1931665,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9736FBEB,0B,0x17678800,1776449,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x975C88BD,0A,0x5473B000,1901039,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x98546A8B,0A,0x5CB17800,1946582,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x99FCABBB,0B,0xF3BD000,2137303,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9A27B656,0A,0x5F622800,2008519,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9A9CD38F,0A,0x56108800,1829630,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9CB5450F,0B,0x9D8D800,2142111,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9CF7F887,0A,0x5D0A2000,1914531,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9E6461DC,0A,0x554F6800,2338063,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0x9E84245A,0A,0x5F80D000,2010821,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xA3B5D6BE,0B,0x16C9D800,2080038,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xA712B7DB,0A,0x62291800,2079253,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAAF470EA,0B,0xE3E6800,2187418,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAB0D74BD,0A,0x5B0D5800,1996263,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAB9A7327,0A,0x60CC3800,1824308,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAD6CA119,0B,0x957D000,2021527,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAE91CACB,0A,0x55105800,2048031,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAFAEE6B1,0A,0x5B683000,1958945,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xAFEA2C99,0A,0x58E02800,1916169,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xB1F91201,0A,0x5690D800,2242587,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
0xB2A1FBA6,0A,0x5BFC8800,2012921,6,2048x512:DXN;2048x512:4444;1024x256:4444;1024x1024:DXT4_5;3968x256:DXT4_5;3968x256:DXN
