base,file_off,w,h,fmt,mip0,foot
5254784,41185280,512,512,DXN,262144,393216
5255040,41578496,256,256,DXN,65536,131072
5255296,41709568,256,256,DXT4_5,65536,131072
5255552,41840640,512,512,DXN,262144,393216
5255808,42233856,256,256,DXN,65536,131072
5256064,42364928,256,256,DXN,65536,131072
5256320,42496000,256,256,DXT4_5,65536,131072
5256576,42627072,512,512,DXN,262144,393216
5256832,43020288,256,256,DXT4_5,65536,131072
5257088,43151360,64,64,565,8192,16384
5257344,43167744,512,512,DXN,262144,393216
5257600,43560960,256,256,DXT4_5,65536,131072
5257856,43692032,64,64,8,4096,12288
5258112,43704320,256,256,DXN,65536,131072
5823488,43835392,512,512,DXN,262144,393216
5823744,44228608,256,256,DXN,65536,131072
5945984,44359680,512,512,DXT1,131072,196608
5946240,44556288,256,256,DXN,65536,131072
5946496,44687360,128,128,DXT4_5,16384,65536
5946752,44752896,512,512,DXN,262144,393216
5947008,45146112,512,512,DXT1,131072,196608
5947264,45342720,512,512,DXN,262144,393216
5947520,45735936,512,512,DXN,262144,393216
5947776,46129152,256,256,DXT4_5,65536,131072
5948032,46260224,256,256,DXT5A,32768,65536
5948288,46325760,256,256,DXN,65536,131072
5948544,46456832,512,512,DXN,262144,393216
5948800,46850048,64,64,8,4096,12288
5949056,46862336,512,512,DXT5A,131072,196608
5949312,47058944,512,512,DXN,262144,393216
5949568,47452160,64,64,8,4096,12288
6386560,47464448,512,256,DXT4_5,131072,212992
6386816,47677440,512,256,DXT4_5,131072,212992
6387072,47890432,256,256,DXN,65536,131072
6387328,48021504,512,512,DXT4_5,262144,393216
8814208,48414720,256,512,DXT4_5,131072,212992
8814464,48627712,128,128,DXT1,8192,32768
8814720,48660480,256,512,DXT4_5,131072,212992
8814976,48873472,256,512,DXT4_5,131072,212992
8815488,49283072,256,512,DXT4_5,131072,212992
8815744,49496064,512,512,DXN,262144,393216
8816512,49889280,512,512,DXT4_5,262144,393216
8816768,50282496,512,512,DXT4_5,262144,393216
9923456,50675712,512,512,DXN,262144,393216
9923712,51068928,512,512,DXT4_5,262144,393216
9923968,51462144,512,512,DXN,262144,393216
9924224,1998848,1024,256,DXT4_5,262144,393216
9924480,2392064,1024,256,DXT4_5,262144,393216
9924736,2785280,1024,256,DXT4_5,262144,393216
9924992,3178496,1024,256,DXT4_5,262144,393216
9925248,3571712,1024,256,DXT4_5,262144,393216
9925504,3964928,1024,256,DXT4_5,262144,393216
9925760,4358144,1024,256,DXT4_5,262144,393216
9926016,4751360,1024,256,DXT4_5,262144,393216
9926272,5144576,1024,256,DXT4_5,262144,393216
9926528,5537792,1024,128,DXT4_5,131072,245760
9926784,5783552,1024,128,DXT4_5,131072,245760
9927040,6029312,1024,128,DXT4_5,131072,245760
9927296,6275072,1024,128,DXT4_5,131072,245760
9927552,6520832,1024,128,DXT4_5,131072,245760
9927808,6766592,1024,128,DXT4_5,131072,245760
9928448,7208960,128,64,565,16384,24576
9993344,7282688,1024,128,DXT4_5,131072,245760
9993600,7528448,1024,128,DXT4_5,131072,245760
9993856,7774208,1024,128,DXT4_5,131072,245760
9994112,8019968,1024,128,DXT4_5,131072,245760
9994368,8265728,1024,128,DXT4_5,131072,245760
9994624,8511488,1024,128,DXT4_5,131072,245760
9994880,8757248,1024,128,DXT4_5,131072,245760
9995136,9003008,1024,128,DXT4_5,131072,245760
9995392,9248768,1024,128,DXT4_5,131072,245760
9995648,9494528,1024,128,DXT4_5,131072,245760
9995904,9740288,1024,256,DXT4_5,262144,393216
9996160,10133504,1024,256,DXT4_5,262144,393216
9996416,10526720,1024,256,DXT4_5,262144,393216
9996672,10919936,1024,256,DXT4_5,262144,393216
9997856,11657216,256,256,DXT1,32768,65536
9998080,11722752,256,256,DXN,65536,131072
10014080,11853824,1024,128,DXT4_5,131072,245760
10014336,12099584,1024,128,DXT4_5,131072,245760
10014592,12345344,1024,128,DXT4_5,131072,245760
10014848,12591104,1024,128,DXT4_5,131072,245760
10015104,12836864,1024,128,DXT4_5,131072,245760
10015360,31961088,256,256,DXT5A,32768,65536
10015616,32026624,256,256,DXT5A,32768,65536
10015872,26001408,256,256,DXT1,32768,65536
10016128,26066944,256,256,DXT1,32768,65536
10016384,26132480,64,64,8,4096,12288
10016640,26144768,64,64,8,4096,12288
10016896,26157056,256,256,DXT1,32768,65536
10017152,26222592,64,64,8,4096,12288
10017408,26234880,128,128,8,16384,28672
10017664,26263552,256,256,DXT1,32768,65536
10017920,26329088,256,256,DXT1,32768,65536
10018176,26394624,128,128,8,16384,28672
10018432,26423296,128,128,8,16384,28672
10018688,26451968,128,128,8,16384,28672
